,Episode,Mean,Stddev
0,0,-74.56,9.33701
1,1,-48.43688,19.34197
2,2,-26.82733,33.36768
3,3,-3.32424,35.65571
4,4,-15.09834,5.1826
5,5,-4.14967,20.2525
6,6,-8.9775,23.04721
7,7,-10.18188,23.45587
8,8,-9.26066,22.93871
9,9,-7.60827,22.32437
10,10,-16.30015,5.43046
11,11,-20.93401,4.8496
12,12,-8.29872,22.66506
13,13,-20.51363,4.9881
14,14,-17.29543,4.26887
15,15,-16.99302,6.6748
16,16,-19.75493,6.59606
17,17,-15.42908,6.06162
18,18,-3.42065,19.99168
19,19,12.96833,28.64402
20,20,-6.40609,21.67121
21,21,-18.80192,7.20123
22,22,-3.56229,20.05119
23,23,-19.40529,4.616
24,24,-14.24141,3.59103
25,25,-18.87013,7.90525
26,26,-6.30586,21.75434
27,27,-16.09194,4.34647
28,28,-16.40405,4.82205
29,29,-22.26772,5.55752
30,30,-9.84793,24.14593
31,31,-16.4039,3.86036
32,32,-3.81409,20.2034
33,33,-15.22309,4.59154
34,34,-17.38988,5.99395
35,35,14.06003,27.51465
36,36,2.54174,28.08246
37,37,-8.63289,23.29703
38,38,-17.38237,6.4219
39,39,-18.2988,5.25588
40,40,-20.37628,5.01444
41,41,-19.02346,5.99399
42,42,-17.40241,5.29506
43,43,-19.37842,5.44059
44,44,-9.55541,23.55472
45,45,-16.597,4.64755
46,46,-21.53945,5.24668
47,47,-18.08691,6.99794
48,48,-21.16205,4.13919
49,49,-22.67996,5.31251
50,50,-11.73438,24.27673
51,51,-16.1134,5.35049
52,52,-21.18552,7.49108
53,53,-5.14216,21.00325
54,54,-15.19304,4.57459
55,55,-4.90963,20.79442
56,56,-20.64785,5.99626
57,57,-5.083,21.34205
58,58,-14.29419,3.55714
59,59,-23.21943,1.88144
60,60,-17.10469,6.7853
61,61,-12.42302,29.70034
62,62,-33.92347,41.68974
63,63,-34.05022,17.84102
64,64,-51.42736,41.76944
65,65,-12.62055,29.25324
66,66,-24.69472,33.33536
67,67,8.69889,36.4836
68,68,-14.62495,41.9611
69,69,-15.23816,42.25229
70,70,19.37609,34.24782
71,71,-8.971,38.29954
72,72,9.35768,35.29489
73,73,2.13724,42.08762
74,74,-31.44069,34.0356
75,75,19.35561,34.28878
76,76,19.47775,34.0445
77,77,19.36207,34.27586
78,78,-7.1883,38.42733
79,79,36.5,0
80,80,19.16483,34.67033
81,81,2.16122,42.05652
82,82,18.97256,35.05488
83,83,1.10224,43.35353
84,84,5.20811,39.75705
85,85,18.84091,35.31817
86,86,18.05934,36.88132
87,87,36.5,0
88,88,18.21877,36.56246
89,89,36.5,0
90,90,18.74311,35.51378
91,91,-0.69252,45.58508
92,92,19.49807,34.00386
93,93,17.70994,37.58012
94,94,-19.27782,46.46187
95,95,-2.30539,47.77627
96,96,18.35816,36.28368
97,97,10.65938,51.68125
98,98,17.76365,37.47271
99,99,2.31395,48.22232
100,100,36.5,0
101,101,36.5,0
102,102,18.05618,36.88764
103,103,36.5,0
104,104,36.5,0
105,105,36.5,0
106,106,12.10797,48.78407
107,107,-7.13645,53.61911
108,108,36.5,0
109,109,36.5,0
110,110,17.66498,37.67005
111,111,36.5,0
112,112,23.75316,25.49367
113,113,22.50016,27.99969
114,114,19.07493,34.85014
115,115,17.44819,38.10363
116,116,5.1813,39.53756
117,117,36.5,0
118,118,36.5,0
119,119,17.6677,37.66459
120,120,36.5,0
121,121,36.5,0
122,122,36.5,0
123,123,36.5,0
124,124,36.5,0
125,125,17.66056,37.67889
126,126,36.5,0
127,127,36.5,0
128,128,36.5,0
129,129,18.3634,36.2732
130,130,25.18154,22.63692
131,131,25.02965,22.94071
132,132,36.5,0
133,133,36.5,0
134,134,25.95594,21.08811
135,135,36.5,0
136,136,36.5,0
137,137,36.5,0
138,138,16.92423,39.15154
139,139,36.5,0
140,140,36.5,0
141,141,36.5,0
142,142,36.5,0
143,143,26.56701,19.86599
144,144,16.02638,40.94724
145,145,36.5,0
146,146,8.58019,55.83961
147,147,36.5,0
148,148,36.5,0
149,149,36.5,0
150,150,36.5,0
151,151,36.5,0
152,152,36.5,0
153,153,36.5,0
154,154,36.5,0
155,155,36.5,0
156,156,6.31756,60.36489
157,157,36.5,0
158,158,16.3631,40.27381
159,159,7.37107,38.21196
160,160,36.5,0
161,161,36.5,0
162,162,36.5,0
163,163,36.5,0
164,164,15.17449,42.65102
165,165,16.75769,39.48461
166,166,36.5,0
167,167,36.5,0
168,168,36.5,0
169,169,16.44158,40.11684
170,170,17.54985,37.90031
171,171,36.5,0
172,172,36.5,0
173,173,36.5,0
174,174,36.5,0
175,175,36.5,0
176,176,36.4,0.2
177,177,36.5,0
178,178,6.30102,60.39796
179,179,36.5,0
180,180,20.01971,32.96058
181,181,36.5,0
182,182,19.08939,34.82122
183,183,36.5,0
184,184,36.5,0
185,185,36.5,0
186,186,36.5,0
187,187,26.66681,19.66638
188,188,36.5,0
189,189,36.5,0
190,190,36.5,0
191,191,18.55995,35.88011
192,192,36.5,0
193,193,36.5,0
194,194,36.5,0
195,195,15.81886,41.36228
196,196,6.17965,60.6407
197,197,36.5,0
198,198,11.09906,50.80188
199,199,36.5,0
200,200,36.5,0
201,201,36.5,0
202,202,36.5,0
203,203,36.5,0
204,204,36.5,0
205,205,36.5,0
206,206,26.15399,20.69203
207,207,6.45795,60.08411
208,208,8.6366,55.72679
209,209,36.5,0
210,210,36.5,0
211,211,-2.42182,47.69043
212,212,36.4,0.2
213,213,17.90337,37.19326
214,214,-2.78446,48.18163
215,215,3.49554,66.00892
216,216,36.5,0
217,217,36.4,0.2
218,218,17.20921,38.58158
219,219,36.5,0
220,220,10.09457,52.81086
221,221,36.5,0
222,222,36.5,0
223,223,36.5,0
224,224,36.5,0
225,225,36.5,0
226,226,36.5,0
227,227,36.4,0.2
228,228,36.5,0
229,229,36.2,0.24495
230,230,4.31994,63.86051
231,231,26.20352,19.34393
232,232,26.40253,19.4459
233,233,20.22545,32.29968
234,234,18.64156,35.71687
235,235,17.33018,38.33964
236,236,16.78599,38.6785
237,237,36.5,0
238,238,36.4,0.2
239,239,19.93861,33.12279
240,240,36.5,0
241,241,26.5895,19.82099
242,242,36.5,0
243,243,36.5,0
244,244,23.30015,25.39969
245,245,25.95909,20.08182
246,246,8.04111,37.10067
247,247,36.2,0.24495
248,248,36.4,0.2
249,249,23.41407,25.67282
250,250,26.74772,19.50456
251,251,14.85823,43.28353
252,252,36.5,0
253,253,36.5,0
254,254,17.07327,38.85347
255,255,36.5,0
256,256,15.75249,41.49502
257,257,23.56829,25.86341
258,258,36.5,0
259,259,36.4,0.2
260,260,36.3,0.24495
261,261,-2.41953,47.76596
262,262,-11.62654,62.41618
263,263,36.4,0.2
264,264,36.5,0
265,265,36.5,0
266,266,16.60999,39.78003
267,267,25.52027,21.95946
268,268,-8.40907,60.2625
269,269,36.5,0
270,270,-9.22616,59.20827
271,271,26.96394,18.82311
272,272,36.5,0
273,273,27.00881,18.98237
274,274,36.4,0.2
275,275,36.3,0.24495
276,276,6.16674,60.66652
277,277,15.85008,41.29985
278,278,36.3,0.24495
279,279,36.5,0
280,280,23.69596,25.60808
281,281,36.5,0
282,282,36.5,0
283,283,36.4,0.2
284,284,17.54774,37.65502
285,285,36.2,0.24495
286,286,36.5,0
287,287,20.93369,30.88323
288,288,36.5,0
289,289,8.18114,56.63772
290,290,36.5,0
291,291,36.3,0.24495
292,292,36.4,0.2
293,293,16.04568,40.90864
294,294,20.03698,32.42682
295,295,36.4,0.2
296,296,8.24293,56.51413
297,297,-10.27963,38.9439
298,298,36.4,0.2
299,299,36.4,0.2
300,300,36.5,0
301,301,8.73902,34.0228
302,302,36.5,0
303,303,36.5,0
304,304,36.5,0
305,305,-5.81072,51.72113
306,306,36.5,0
307,307,19.63406,33.73189
308,308,-12.08385,39.89838
309,309,36.3,0.24495
310,310,36.4,0.2
311,311,36.4,0.2
312,312,36.5,0
313,313,36.5,0
314,314,36.5,0
315,315,36.4,0.2
316,316,16.70717,38.58567
317,317,21.80289,29.14486
318,318,-5.9854,51.69819
319,319,36.3,0.24495
320,320,36.3,0.24495
321,321,36.5,0
322,322,-1.5459,46.78785
323,323,18.91182,35.17635
324,324,17.76389,37.47222
325,325,36.5,0
326,326,26.13456,20.73088
327,327,25.38702,22.22597
328,328,36.5,0
329,329,36.5,0
330,330,18.85057,35.29886
331,331,25.689,21.62201
332,332,36.5,0
333,333,-3.39763,38.15301
334,334,36.5,0
335,335,23.75073,25.49855
336,336,11.97155,49.0569
337,337,36.5,0
338,338,36.5,0
339,339,23.20329,26.59341
340,340,36.5,0
341,341,36.5,0
342,342,36.5,0
343,343,36.5,0
344,344,36.4,0.2
345,345,36.4,0.2
