,Episode,Mean,Stddev
0,   0.00000, -32.90834,   5.70308
1,   1.00000, -35.98298,   3.90560
2,   2.00000, -35.40334,   6.03383
3,   3.00000, -28.97616,   3.88754
4,   4.00000, -32.59356,   1.39122
5,   5.00000, -33.89285,   4.42022
6,   6.00000, -34.41386,  29.76395
7,   7.00000, -61.89831,  28.06532
8,   8.00000, -58.31293,   9.35652
9,   9.00000, -46.45064,  18.69883
10,  10.00000, -54.02618,  16.76492
11,  11.00000, -46.06108,  12.88049
12,  12.00000, -52.89103,  15.68300
13,  13.00000, -40.00845,   9.80350
14,  14.00000, -58.10414,  18.76090
15,  15.00000, -56.97392,  22.63892
16,  16.00000, -53.44874,  29.35637
17,  17.00000, -57.01277,  24.88115
18,  18.00000, -69.91400,   9.66350
19,  19.00000, -53.48241,  13.36668
20,  20.00000, -56.60791,   7.46106
21,  21.00000, -52.37031,  13.06164
22,  22.00000, -48.28583,  12.73851
23,  23.00000, -49.67340,  12.74483
24,  24.00000, -51.07144,  22.80499
25,  25.00000, -62.14921,  16.57390
26,  26.00000, -58.92633,  15.19916
27,  27.00000, -58.97288,  17.27279
28,  28.00000, -46.68519,  12.89100
29,  29.00000, -69.32131,  12.82021
30,  30.00000, -59.58973,  26.89036
31,  31.00000, -58.74761,  16.23195
32,  32.00000, -40.39461,  11.36606
33,  33.00000, -49.50796,  18.47097
34,  34.00000, -49.92493,  13.92357
35,  35.00000, -48.37841,  13.30785
36,  36.00000, -37.90130,   8.85975
37,  37.00000, -46.45334,   7.54363
38,  38.00000, -56.44693,  29.96107
39,  39.00000, -76.11898,  14.78589
40,  40.00000, -58.86785,   9.57384
41,  41.00000, -66.91235,  22.16103
42,  42.00000, -59.82719,  21.93204
43,  43.00000, -45.26568,  13.20450
44,  44.00000, -53.23857,  12.81871
45,  45.00000, -52.39780,  12.02174
46,  46.00000, -57.75271,  27.11720
47,  47.00000, -52.14940,  29.06332
48,  48.00000, -80.75312,  18.25129
49,  49.00000, -56.77194,  24.29623
50,  50.00000, -56.89899,  13.14273
51,  51.00000, -43.91837,  11.98438
52,  52.00000, -68.59605,  22.03262
53,  53.00000, -56.04448,  25.96846
54,  54.00000, -57.13489,  17.83858
55,  55.00000, -65.32100,  26.80860
56,  56.00000, -60.43145,  30.01943
57,  57.00000, -47.26008,  14.07578
58,  58.00000, -69.35144,  35.34293
59,  59.00000, -61.73846,  28.79991
60,  60.00000, -58.62044,  27.67648
61,  61.00000, -55.91036,  27.07826
62,  62.00000, -49.98595,  12.61882
63,  63.00000, -46.63892,  13.70350
64,  64.00000, -47.89505,  10.58933
65,  65.00000, -70.26984,  27.41173
66,  66.00000, -52.92458,  19.39218
67,  67.00000, -55.63640,  27.57432
68,  68.00000, -50.94842,  16.79028
69,  69.00000, -50.58468,  27.97310
70,  70.00000, -76.27181,  19.81590
71,  71.00000, -48.04230,  12.54295
72,  72.00000, -45.47571,  18.31192
73,  73.00000, -52.67506,  11.73131
74,  74.00000, -48.63328,   9.98783
75,  75.00000, -42.63210,  11.96027
76,  76.00000, -56.10716,  25.72477
77,  77.00000, -51.29428,  11.02418
78,  78.00000, -39.51947,  10.10407
79,  79.00000, -57.06489,  22.09870
80,  80.00000, -49.00641,  11.22295
81,  81.00000, -55.26364,  15.81361
82,  82.00000, -52.94654,  19.33081
83,  83.00000, -62.50632,  19.37915
84,  84.00000, -39.58544,  12.39533
85,  85.00000, -49.75856,  19.31209
86,  86.00000, -49.00036,  11.62434
87,  87.00000, -46.39500,  12.98934
88,  88.00000, -52.21143,  10.49637
89,  89.00000, -50.97722,  12.00005
90,  90.00000, -46.81444,  14.09204
91,  91.00000, -46.87348,  11.72595
92,  92.00000, -60.36954,  16.38230
93,  93.00000, -63.63286,  24.22229
94,  94.00000, -48.34858,  18.02312
95,  95.00000, -48.19798,  13.07038
96,  96.00000, -43.74012,  19.08352
97,  97.00000, -63.11434,  23.84168
98,  98.00000, -56.42534,  29.07879
99,  99.00000, -43.84113,   9.48389
100, 100.00000, -59.52288,  14.62434
101, 101.00000, -62.39407,  21.28719
102, 102.00000, -56.54610,  16.10354
103, 103.00000, -49.54732,  13.96853
104, 104.00000, -62.89391,  28.10888
105, 105.00000, -71.27546,  15.19472
106, 106.00000, -57.31532,  29.24319
107, 107.00000, -54.97241,  13.24004
108, 108.00000, -48.83015,  14.39186
109, 109.00000, -49.12302,  12.85581
110, 110.00000, -53.84327,  19.55749
111, 111.00000, -60.55844,  19.48765
112, 112.00000, -59.26149,  22.84486
113, 113.00000, -53.66444,  15.61471
114, 114.00000, -53.00324,   8.31980
115, 115.00000, -55.93757,  12.09058
116, 116.00000, -39.44020,   9.56829
117, 117.00000, -59.28642,  26.77155
118, 118.00000, -66.57271,  21.17294
119, 119.00000, -47.81513,  12.92178
120, 120.00000, -66.43759,  27.99610
121, 121.00000, -53.77584,  21.11400
122, 122.00000, -63.31124,  23.91263
123, 123.00000, -50.28005,  13.51527
124, 124.00000, -39.19727,  11.27134
125, 125.00000, -52.97173,  10.00986
126, 126.00000, -54.87883,  14.53210
127, 127.00000, -56.49776,  21.93482
128, 128.00000, -45.68978,  10.91673
129, 129.00000, -52.52001,  28.16787
130, 130.00000, -52.69546,   8.63287
131, 131.00000, -72.28383,  31.83125
132, 132.00000, -47.15065,   9.70601
133, 133.00000, -10.92354,   0.93505
134, 134.00000, -52.08013,  20.05216
135, 135.00000, -14.69845,   3.07113
136, 136.00000, -30.74259,   7.44781
137, 137.00000, -33.76220,  10.74137
138, 138.00000, -39.17570,   8.11535
139, 139.00000, -36.35299,   5.52640
140, 140.00000, -28.69260,   9.18990
141, 141.00000, -36.77967,   8.78699
142, 142.00000, -20.60378,   1.88087
143, 143.00000, -15.11568,   1.78311
144, 144.00000, -23.02696,   1.37067
145, 145.00000, -27.16548,   5.08056
146, 146.00000, -20.65269,   4.48922
147, 147.00000, -26.96761,   0.91973
148, 148.00000, -18.56270,   3.70784
149, 149.00000, -14.87698,   1.80488
150, 150.00000, -24.92507,   3.54235
151, 151.00000, -31.20534,   3.23458
152, 152.00000, -29.32897,   5.43949
153, 153.00000, -27.03270,   3.42076
154, 154.00000, -23.32030,   4.98538
155, 155.00000, -20.04116,   2.87318
156, 156.00000, -24.56323,   2.85363
157, 157.00000, -14.28512,   2.71551
158, 158.00000,   7.51847,  27.47793
159, 159.00000, -12.83527,   2.18741
160, 160.00000, -18.35590,   1.01809
161, 161.00000, -16.82222,   3.01246
162, 162.00000, -21.67236,   3.23827
163, 163.00000, -20.32243,   3.44455
164, 164.00000, -17.73769,   2.08808
165, 165.00000,  20.34417,  25.30765
166, 166.00000,  -0.72880,  21.32041
167, 167.00000, -12.12825,   2.36636
168, 168.00000, -22.18790,   2.68741
169, 169.00000, -17.31768,   2.71739
170, 170.00000, -26.30608,   2.03920
171, 171.00000, -19.73012,   1.52273
172, 172.00000, -24.49976,   4.86050
173, 173.00000, -22.72940,   5.38004
174, 174.00000, -16.24247,   1.50049
175, 175.00000, -18.11392,   1.68828
176, 176.00000, -14.82944,   2.28456
177, 177.00000,  -4.39965,  22.73351
178, 178.00000,   9.85067,  25.64037
179, 179.00000, -15.89811,   2.98829
180, 180.00000, -16.93165,   1.44659
181, 181.00000, -19.81747,   0.78982
182, 182.00000,  30.99218,  20.51686
183, 183.00000,  21.84536,  23.73626
184, 184.00000,   0.09921,  20.71032
185, 185.00000,  41.40000,   0.20000
186, 186.00000,  11.09201,  24.82853
187, 187.00000,  31.28348,  20.43305
188, 188.00000,  11.05243,  24.86055
189, 189.00000,  10.52684,  25.08841
190, 190.00000,  41.30000,   0.24495
191, 191.00000,  41.50000,   0.00000
192, 192.00000,  41.50000,   0.00000
193, 193.00000,  41.50000,   0.00000
194, 194.00000,  41.40000,   0.20000
195, 195.00000,  41.50000,   0.00000
196, 196.00000,  41.50000,   0.00000
197, 197.00000,  41.40000,   0.20000
198, 198.00000,  41.50000,   0.00000
199, 199.00000,  41.50000,   0.00000
200, 200.00000,  41.40000,   0.20000
201, 201.00000,  41.40000,   0.20000
202, 202.00000,  41.50000,   0.00000
203, 203.00000,  41.30000,   0.24495
204, 204.00000,  32.10027,  18.79946
205, 205.00000,  32.11683,  18.26771
206, 206.00000,  41.40000,   0.20000
207, 207.00000,  41.40000,   0.20000
208, 208.00000,  41.50000,   0.00000
209, 209.00000,  41.40000,   0.20000
210, 210.00000,  41.40000,   0.20000
211, 211.00000,  22.59661,  23.15473
212, 212.00000,  31.54829,  19.65438
213, 213.00000,  14.18507,  22.30257
214, 214.00000,  41.10000,   0.20000
215, 215.00000,  24.06016,  21.35936
216, 216.00000,  41.50000,   0.00000
217, 217.00000,  41.40000,   0.20000
218, 218.00000,  41.40000,   0.20000
219, 219.00000,  41.50000,   0.00000
220, 220.00000,  41.50000,   0.00000
221, 221.00000,   6.15717,  17.67748
222, 222.00000,  14.73056,  21.86133
223, 223.00000,  24.99824,  20.06440
224, 224.00000,  -2.49953,   8.21266
225, 225.00000,  41.50000,   0.00000
226, 226.00000,   7.75345,   7.50754
227, 227.00000,  14.04210,  22.22549
228, 228.00000,   8.25684,  16.99699
229, 229.00000,  25.01486,  20.15716
230, 230.00000,  10.63453,  16.09571
231, 231.00000,  41.10000,   0.20000
232, 232.00000,  25.43035,  19.81196
233, 233.00000,  22.57689,  22.56728
234, 234.00000,  32.08828,  18.07447
235, 235.00000,  14.47850,  21.65595
236, 236.00000,   7.96901,  17.08141
237, 237.00000,  14.80299,  21.61932
238, 238.00000,  41.40000,   0.20000
239, 239.00000,  41.20000,   0.24495
240, 240.00000,  41.50000,   0.00000
241, 241.00000,  14.84283,  21.87016
242, 242.00000,  31.74800,  19.00532
243, 243.00000,  24.43402,  20.78822
244, 244.00000,   0.89161,   6.94667
245, 245.00000,   7.83699,   3.93932
246, 246.00000,   5.51050,   1.77698
247, 247.00000,  13.73229,  22.50381
248, 248.00000,  13.74991,  22.27561
249, 249.00000,   4.85789,  18.09400
250, 250.00000,  14.23304,  22.08089
251, 251.00000,   5.95110,  17.83034
252, 252.00000,  -2.06976,   5.57874
253, 253.00000,  15.28643,  21.22524
254, 254.00000,   9.94516,  16.88382
255, 255.00000,   0.39153,   4.69255
256, 256.00000,  -0.47786,   4.38894
257, 257.00000,  23.59608,  21.34005
258, 258.00000,  23.09909,  22.16445
259, 259.00000,   3.16304,   4.29964
260, 260.00000,  32.91303,  16.17394
261, 261.00000,  13.95169,  22.53762
262, 262.00000,   1.17955,   6.61266
263, 263.00000,  22.73271,  22.61249
264, 264.00000,  32.03325,  18.43485
265, 265.00000,  41.10000,   0.20000
266, 266.00000,  41.40000,   0.20000
267, 267.00000,  14.72116,  21.66427
268, 268.00000,  40.90000,   0.48990
269, 269.00000,  31.82245,  17.85650
270, 270.00000,  26.03059,  18.55165
271, 271.00000,  32.61368,  17.02373
272, 272.00000,  32.61835,  17.01441
273, 273.00000,  17.21685,  19.63396
274, 274.00000,  34.62352,  13.00440
275, 275.00000,   5.73916,  17.79212
276, 276.00000,  17.46858,  19.92044
277, 277.00000,  24.76626,  20.23658
278, 278.00000,   9.95111,  15.92642
279, 279.00000,   6.09935,  17.76985
280, 280.00000,  18.47734,  18.84260
281, 281.00000,   2.84696,   7.21901
282, 282.00000,  -2.15809,   4.09690
283, 283.00000,  -3.67482,   1.10288
284, 284.00000,  -2.40689,   3.25372
285, 285.00000,  41.50000,   0.00000
286, 286.00000,   2.70073,   4.77261
287, 287.00000,  -3.34150,   1.38824
288, 288.00000,   5.07915,  18.26360
289, 289.00000,  -2.83090,   3.42917
290, 290.00000,  -0.79381,   3.32188
291, 291.00000,  -0.53518,   2.20445
292, 292.00000,  -1.06059,   4.80096
293, 293.00000,  -4.28507,   0.95739
294, 294.00000,  -2.79850,   5.41280
295, 295.00000,  -2.01758,   4.97119
296, 296.00000,  15.08119,  21.36486
297, 297.00000,  13.28341,  22.84321
298, 298.00000,   5.33757,  18.50015
299, 299.00000,  -4.45743,   1.87060
300, 300.00000,  23.48300,  21.90916
301, 301.00000,   5.65411,  17.73502
302, 302.00000,   5.11054,  18.00748
303, 303.00000,  -0.01994,   3.39080
304, 304.00000,  -1.83900,   3.13974
305, 305.00000,   0.91167,   3.75080
306, 306.00000,  10.48419,  15.72533
307, 307.00000,  -1.01284,   3.10219
308, 308.00000,  -3.42532,   3.49375
309, 309.00000,  -1.72105,   2.99094
310, 310.00000,  41.20000,   0.40000
311, 311.00000,  31.19962,  18.85176
312, 312.00000,  41.00000,   0.00000
313, 313.00000,  26.17074,  18.57342
314, 314.00000,  12.02731,  14.75251
315, 315.00000,  19.10394,  18.31807
316, 316.00000,  41.50000,   0.00000
317, 317.00000,  26.18419,  18.75966
318, 318.00000,  19.93029,  17.63024
319, 319.00000,  33.93396,  15.13208
320, 320.00000,  31.73176,  18.28751
321, 321.00000,  41.00000,   0.00000
322, 322.00000,  31.70418,  18.34267
323, 323.00000,  23.73898,  21.35546
324, 324.00000,  31.91817,  17.16657
325, 325.00000,  31.10762,  18.78476
326, 326.00000,  18.22105,  18.19359
327, 327.00000,   9.53388,  16.10716
328, 328.00000,  33.48349,  14.78429
329, 329.00000,  18.67212,  18.45269
330, 330.00000,  41.30000,   0.24495
331, 331.00000,  15.11544,  21.68045
332, 332.00000,  10.28001,  15.67032
333, 333.00000,  17.80052,  19.15050
334, 334.00000,  18.60188,  18.29994
335, 335.00000,  32.43713,  16.87686
336, 336.00000,  24.43647,  20.59200
337, 337.00000,  26.67097,  17.77371
338, 338.00000,  26.25978,  18.26590
339, 339.00000,   3.10915,   7.74996
340, 340.00000,  41.00000,   0.00000
341, 341.00000,   5.69391,  17.85800
342, 342.00000,  41.10000,   0.20000
343, 343.00000,  19.30525,  17.73816
344, 344.00000,  17.67956,  19.04111
345, 345.00000,  16.27476,  20.51824
346, 346.00000,  33.62208,  14.50713
347, 347.00000,  10.42751,  15.29986
348, 348.00000,   6.61535,   6.17896
349, 349.00000,  41.40000,   0.20000
350, 350.00000,  22.79503,  22.30960
351, 351.00000,  23.76648,  21.10712
352, 352.00000,  23.06869,  22.19740
353, 353.00000,  17.52343,  19.57846
354, 354.00000,  15.64240,  20.92286
355, 355.00000,  18.33683,  19.03434
356, 356.00000,  14.23275,  21.85562
357, 357.00000,   8.48224,  16.98966
358, 358.00000,   3.50026,   1.96656
359, 359.00000,  24.17716,  20.86408
360, 360.00000,  25.99837,  18.38231
361, 361.00000,  23.73701,  21.35120
362, 362.00000,   9.47612,  16.13784
363, 363.00000,  18.50188,  18.37624
364, 364.00000,   5.79965,  17.62594
365, 365.00000,  23.63867,  21.26484
366, 366.00000,  32.02509,  17.94982
367, 367.00000,  16.24587,  20.27976
368, 368.00000,  41.00000,   0.00000
369, 369.00000,  24.95103,  19.91912
370, 370.00000,  17.01288,  19.70807
371, 371.00000,  15.70259,  21.06369
372, 372.00000,  23.83834,  21.66115
373, 373.00000,  32.76130,  17.47739
374, 374.00000,   9.64124,  16.20166
375, 375.00000,  11.53386,  15.00796
376, 376.00000,   4.96014,   1.18691
377, 377.00000,  26.68315,  18.18464
378, 378.00000,  11.57339,  14.96842
379, 379.00000,   9.61108,  16.54573
380, 380.00000,  26.70551,  18.12244
381, 381.00000,  15.84509,  21.48010
382, 382.00000,  34.12282,  14.75436
383, 383.00000,   6.08370,   2.95748
384, 384.00000,   9.26432,  16.47348
385, 385.00000,   7.19261,   3.51790
386, 386.00000,  18.40882,  18.93391
387, 387.00000,  -0.26273,   3.74675
388, 388.00000,  14.50700,  13.71164
389, 389.00000,  32.40040,  18.19920
390, 390.00000,  19.04536,  18.33614
391, 391.00000,  17.49329,  20.09816
392, 392.00000,  19.63692,  17.88999
393, 393.00000,  26.54634,  18.32355
394, 394.00000,  24.40723,  21.03587
395, 395.00000,  25.45549,  19.65521
396, 396.00000,  41.50000,   0.00000
397, 397.00000,  33.59600,  15.80801
398, 398.00000,  33.52909,  15.94182
399, 399.00000,   6.08320,   3.66546
400, 400.00000,  32.22604,  18.54792
401, 401.00000,  22.88055,  22.80425
402, 402.00000,  26.29170,  18.62908
403, 403.00000,  34.14363,  14.71273
404, 404.00000,  18.52730,  18.76362
405, 405.00000,  26.61675,  18.23742
406, 406.00000,  41.50000,   0.00000
407, 407.00000,  26.34007,  18.56792
408, 408.00000,  41.50000,   0.00000
409, 409.00000,  20.43200,  17.44281
410, 410.00000,  24.27065,  20.77511
411, 411.00000,  41.40000,   0.20000
412, 412.00000,  41.50000,   0.00000
413, 413.00000,  41.40000,   0.20000
414, 414.00000,  17.12412,  20.20382
415, 415.00000,  15.05183,  13.22976
416, 416.00000,  33.64239,  15.71521
417, 417.00000,  27.16855,  17.15803
418, 418.00000,   4.72632,   4.16149
419, 419.00000,  26.68349,  18.15233
420, 420.00000,  33.55651,  15.88699
421, 421.00000,  41.50000,   0.00000
422, 422.00000,  41.50000,   0.00000
423, 423.00000,  41.50000,   0.00000
424, 424.00000,  34.14613,  14.70775
425, 425.00000,  41.50000,   0.00000
426, 426.00000,  41.50000,   0.00000
427, 427.00000,  41.50000,   0.00000
428, 428.00000,  41.50000,   0.00000
429, 429.00000,  41.40000,   0.20000
430, 430.00000,  41.50000,   0.00000
431, 431.00000,  41.50000,   0.00000
432, 432.00000,  41.50000,   0.00000
433, 433.00000,  41.50000,   0.00000
434, 434.00000,  41.50000,   0.00000
435, 435.00000,  41.50000,   0.00000
436, 436.00000,  41.50000,   0.00000
437, 437.00000,  41.50000,   0.00000
438, 438.00000,  41.40000,   0.20000
439, 439.00000,  41.50000,   0.00000
440, 440.00000,  41.50000,   0.00000
441, 441.00000,  41.50000,   0.00000
442, 442.00000,  41.50000,   0.00000
443, 443.00000,  41.50000,   0.00000
444, 444.00000,  41.50000,   0.00000
445, 445.00000,  41.60000,   0.20000
446, 446.00000,  41.40000,   0.20000
447, 447.00000,  41.50000,   0.00000
448, 448.00000,  41.50000,   0.00000
449, 449.00000,  41.50000,   0.00000
450, 450.00000,  41.50000,   0.00000
451, 451.00000,  41.50000,   0.00000
452, 452.00000,  34.71861,  13.56278
453, 453.00000,  41.60000,   0.20000
454, 454.00000,  41.50000,   0.00000
455, 455.00000,  41.50000,   0.00000
456, 456.00000,  33.90890,  15.18220
457, 457.00000,  41.50000,   0.00000
458, 458.00000,  41.60000,   0.20000
